date,revenue,orders,aov
2018-04-14,1527258.329999999,154,9917.261883116877
2018-04-15,2443628.9699999974,232,10532.8834913793
2018-04-16,3234634.5599999973,288,11231.36999999999
2018-04-17,2752817.3099999977,275,10010.244763636356
2018-04-18,3101143.7699999968,296,10476.8370608108
2018-04-19,3436869.509999993,292,11770.10106164381
2018-04-20,2207549.8799999985,200,11037.749399999993
2018-04-21,1523424.5999999982,160,9521.403749999989
2018-04-22,2203824.509999997,212,10395.398632075457
2018-04-23,3007380.7799999956,295,10194.511118644054
2018-04-24,3441653.819999996,281,12247.87836298931
2018-04-25,3281250.7799999956,296,11085.306689189174
2018-04-26,2552232.5099999984,264,9667.54738636363
2018-04-27,3174165.359999997,244,13008.874426229497
2018-04-28,1819469.6099999987,171,10640.17315789473
2018-04-29,1559100.599999999,185,8427.570810810805
2018-04-30,2842064.459999997,242,11744.068016528914
2018-05-01,2662767.4499999983,271,9825.71014760147
2018-05-02,2947763.609999998,302,9760.806655629132
2018-05-03,3327495.2099999953,323,10301.842755417942
2018-05-04,3137100.0299999956,269,11662.081895910764
2018-05-05,2258780.2199999974,205,11018.440097560962
2018-05-06,2245029.659999997,217,10345.758801843303
2018-05-07,4279203.449999996,373,11472.395308310983
2018-05-08,3830293.529999996,345,11102.300086956511
2018-05-09,3421624.4999999953,354,9665.605932203376
2018-05-10,4020975.9899999965,288,13961.722187499989
2018-05-11,3055014.719999998,256,11933.651249999992
2018-05-12,2332041.209999998,212,11000.194386792444
2018-05-13,2527009.109999998,218,11591.784908256872
2018-05-14,4265899.289999995,369,11560.702682926816
2018-05-15,3308932.889999996,364,9090.474972527461
2018-05-16,4492795.859999997,359,12514.751699164335
2018-05-17,2520540.269999997,249,10122.651686746976
2018-05-18,2484988.379999998,237,10485.183037974675
2018-05-19,2027771.189999998,146,13888.843767123275
2018-05-20,1553969.6099999992,167,9305.207245508976
2018-05-21,1994302.7999999975,204,9775.994117647046
2018-05-22,2194060.139999997,197,11137.361116751254
2018-05-23,1449308.6999999983,141,10278.785106382968
2018-05-24,1590760.71,116,13713.454396551724
2018-05-25,1291526.3699999999,108,11958.5775
2018-05-26,1193570.8199999998,102,11701.674705882351
2018-05-27,1015885.7999999996,105,9675.102857142852
2018-05-28,2168010.809999998,153,14170.005294117635
2018-05-29,2067123.8699999976,156,13250.794038461523
2018-05-30,1539337.2299999995,141,10917.285319148932
2018-05-31,1987288.4699999979,138,14400.641086956506
2018-06-01,2607185.969999996,189,13794.634761904741
2018-06-02,2046264.749999998,149,13733.320469798644
2018-06-03,2272414.499999998,198,11476.840909090899
2018-06-04,2293425.0899999966,232,9885.452974137916
2018-06-05,2465179.2899999996,207,11909.078695652172
2018-06-06,2121519.0599999977,233,9105.232017167373
2018-06-07,2998963.0799999954,235,12761.545021276575
2018-06-08,2114958.329999998,207,10217.189999999991
2018-06-09,2361083.9399999985,178,13264.516516853924
2018-06-10,2067300.6299999983,203,10183.7469458128
2018-06-11,4022866.349999995,312,12893.802403846137
2018-06-12,3257990.639999997,259,12579.114440154428
2018-06-13,2735720.4599999967,269,10169.964535315972
2018-06-14,2209512.869999998,221,9997.795791855193
2018-06-15,2129828.129999999,191,11150.932617801041
2018-06-16,1966017.4199999985,169,11633.239171597625
2018-06-17,1400781.3299999994,157,8922.174076433117
2018-06-18,2727201.869999997,251,10865.346095617517
2018-06-19,2774631.779999997,241,11512.994937759324
2018-06-20,2317552.5599999977,227,10209.482643171796
2018-06-21,2234330.999999997,240,9309.712499999989
2018-06-22,1986722.3699999982,182,10916.056978021968
2018-06-23,1410618.8699999992,157,8984.833566878975
